# Posizione angolare. Can 1 e 2. A 60g
# Tempo ( s )	# Posizione angolare ( rad )
0.0000	0.000
0.0500	-1.484
0.1000	-3.159
0.1500	-4.974
0.2000	-6.929
0.2500	-9.023
0.3000	-11.257
0.3500	-13.648
0.4000	-16.162
0.4500	-18.815
0.5000	-21.607
0.5500	-24.557
0.6000	-27.629
0.6500	-30.840
0.7000	-34.191
0.7500	-37.682
0.8000	-41.312
0.8500	-45.082
0.9000	-48.991
0.9500	-53.023
1.0000	-57.194
1.0500	-61.505
1.1000	-65.956
1.1500	-70.529
1.2000	-75.241
1.2500	-80.093
1.3000	-84.998
1.3500	-89.884
1.4000	-94.771
1.4500	-99.658
1.5000	-104.371
1.5500	-108.053
