# Posizione angolare. Can 1 e 2. D+A 60g
# Tempo ( s )	# Posizione angolare ( rad )
0.0000	0.000
0.0500	-0.017
0.1000	-0.017
0.1500	-0.017
0.2000	-0.035
0.2500	-0.035
0.3000	-0.052
0.3500	-0.087
0.4000	-0.157
0.4500	-0.262
0.5000	-0.401
0.5500	-0.576
0.6000	-0.785
0.6500	-1.030
0.7000	-1.292
0.7500	-1.606
0.8000	-1.937
0.8500	-2.304
0.9000	-2.705
0.9500	-3.142
1.0000	-3.613
1.0500	-4.102
1.1000	-4.625
1.1500	-5.201
1.2000	-5.777
1.2500	-6.405
1.3000	-7.069
1.3500	-7.749
1.4000	-8.482
1.4500	-9.233
1.5000	-10.018
1.5500	-10.838
1.6000	-11.694
1.6500	-12.584
1.7000	-13.509
1.7500	-14.451
1.8000	-15.446
1.8500	-16.458
1.9000	-17.506
1.9500	-18.588
2.0000	-19.705
2.0500	-20.839
2.1000	-22.026
2.1500	-23.248
2.2000	-24.487
2.2500	-25.761
2.3000	-27.070
2.3500	-28.414
2.4000	-29.793
2.4500	-31.206
2.5000	-32.638
2.5500	-34.104
2.6000	-35.622
2.6500	-37.158
2.7000	-38.729
2.7500	-40.317
2.8000	-41.958
2.8500	-43.616
2.9000	-45.309
2.9500	-47.037
3.0000	-48.799
3.0500	-50.597
3.1000	-52.412
3.1500	-54.262
3.2000	-56.165
3.2500	-58.085
3.3000	-60.039
3.3500	-62.012
3.4000	-64.036
3.4500	-66.078
3.5000	-68.173
3.5500	-70.284
3.6000	-72.414
3.6500	-74.595
3.7000	-76.794
3.7500	-79.046
3.8000	-81.315
3.8500	-83.601
3.9000	-85.923
3.9500	-88.209
4.0000	-90.321
