# Posizione angolare. Can 1 e 2. D+A 100g
# Tempo ( s )	# Posizione angolare ( rad )
0.0000	0.000
0.0500	-0.017
0.1000	-0.035
0.1500	-0.052
0.2000	-0.087
0.2500	-0.105
0.3000	-0.140
0.3500	-0.227
0.4000	-0.367
0.4500	-0.559
0.5000	-0.803
0.5500	-1.100
0.6000	-1.449
0.6500	-1.868
0.7000	-2.321
0.7500	-2.845
0.8000	-3.403
0.8500	-4.032
0.9000	-4.695
0.9500	-5.428
1.0000	-6.213
1.0500	-7.051
1.1000	-7.941
1.1500	-8.884
1.2000	-9.879
1.2500	-10.943
1.3000	-12.043
1.3500	-13.195
1.4000	-14.416
1.4500	-15.691
1.5000	-17.000
1.5500	-18.378
1.6000	-19.809
1.6500	-21.293
1.7000	-22.829
1.7500	-24.417
1.8000	-26.058
1.8500	-27.751
1.9000	-29.496
1.9500	-31.294
2.0000	-33.144
2.0500	-35.064
2.1000	-37.018
2.1500	-39.043
2.2000	-41.103
2.2500	-43.232
2.3000	-45.396
2.3500	-47.630
2.4000	-49.899
2.4500	-52.220
2.5000	-54.611
2.5500	-57.037
2.6000	-59.516
2.6500	-62.064
2.7000	-64.630
2.7500	-67.282
2.8000	-69.970
2.8500	-72.710
2.9000	-75.503
2.9500	-78.348
3.0000	-81.245
3.0500	-84.195
3.1000	-87.197
