# Posizione angolare. Can 1 e 2. S 60g
# Tempo ( s )	# Posizione angolare ( rad )
0.0000	0.000
0.0500	0.035
0.1000	0.087
0.1500	0.122
0.2000	0.175
0.2500	0.244
0.3000	0.297
0.3500	0.367
0.4000	0.436
0.4500	0.506
0.5000	0.576
0.5500	0.663
0.6000	0.750
0.6500	0.838
0.7000	0.925
0.7500	1.030
0.8000	1.134
0.8500	1.239
0.9000	1.344
0.9500	1.466
1.0000	1.571
1.0500	1.693
1.1000	1.833
1.1500	1.955
1.2000	2.094
1.2500	2.234
1.3000	2.374
1.3500	2.531
1.4000	2.670
1.4500	2.827
1.5000	2.985
1.5500	3.159
1.6000	3.316
1.6500	3.491
1.7000	3.665
1.7500	3.840
1.8000	4.032
1.8500	4.224
1.9000	4.416
1.9500	4.608
2.0000	4.800
2.0500	5.009
2.1000	5.219
2.1500	5.428
2.2000	5.655
2.2500	5.864
2.3000	6.091
2.3500	6.318
2.4000	6.562
2.4500	6.789
2.5000	7.034
2.5500	7.278
2.6000	7.540
2.6500	7.784
2.7000	8.046
2.7500	8.308
2.8000	8.570
2.8500	8.849
2.9000	9.111
2.9500	9.390
3.0000	9.669
3.0500	9.966
3.1000	10.245
3.1500	10.542
3.2000	10.838
3.2500	11.135
3.3000	11.449
3.3500	11.764
3.4000	12.078
3.4500	12.392
3.5000	12.706
3.5500	13.038
3.6000	13.369
3.6500	13.701
3.7000	14.032
3.7500	14.382
3.8000	14.731
3.8500	15.080
3.9000	15.429
3.9500	15.778
4.0000	16.144
4.0500	16.511
4.1000	16.877
4.1500	17.244
4.2000	17.628
4.2500	18.012
4.3000	18.396
4.3500	18.780
4.4000	19.164
4.4500	19.565
4.5000	19.967
4.5500	20.368
4.6000	20.787
4.6500	21.188
4.7000	21.607
4.7500	22.026
4.8000	22.445
4.8500	22.881
4.9000	23.318
4.9500	23.754
5.0000	24.190
5.0500	24.627
5.1000	25.080
5.1500	25.534
5.2000	25.988
5.2500	26.442
5.3000	26.913
5.3500	27.384
5.4000	27.855
5.4500	28.327
5.5000	28.798
5.5500	29.287
5.6000	29.775
5.6500	30.264
5.7000	30.753
5.7500	31.259
5.8000	31.765
5.8500	32.271
5.9000	32.777
5.9500	33.301
6.0000	33.807
6.0500	34.331
6.1000	34.872
6.1500	35.395
6.2000	35.919
6.2500	36.460
6.3000	37.001
6.3500	37.559
6.4000	38.101
6.4500	38.659
6.5000	39.218
6.5500	39.776
6.6000	40.352
6.6500	40.911
6.7000	41.486
6.7500	42.062
6.8000	42.638
6.8500	43.232
6.9000	43.825
6.9500	44.419
7.0000	45.012
7.0500	45.605
7.1000	46.216
7.1500	46.827
7.2000	47.438
7.2500	48.049
7.3000	48.660
7.3500	49.288
7.4000	49.916
7.4500	50.545
7.5000	51.173
7.5500	51.819
7.6000	52.465
7.6500	53.110
7.7000	53.756
7.7500	54.402
7.8000	55.065
7.8500	55.728
