# Posizione angolare. Can 1 e 2. Filo A
# Tempo ( s )	Posizione angolare ( gr )
0.0000	0.0
0.0500	0.0
0.1000	0.0
0.1500	0.0
0.2000	0.0
0.2500	0.0
0.3000	0.0
0.3500	0.0
0.4000	0.0
0.4500	0.0
0.5000	0.0
0.5500	0.0
0.6000	0.0
0.6500	0.0
0.7000	0.0
0.7500	0.0
0.8000	0.0
0.8500	0.0
0.9000	1.0
0.9500	3.0
1.0000	6.0
1.0500	9.0
1.1000	11.0
1.1500	13.0
1.2000	14.0
1.2500	14.0
1.3000	13.0
1.3500	12.0
1.4000	10.0
1.4500	7.0
1.5000	4.0
1.5500	0.0
1.6000	-3.0
1.6500	-6.0
1.7000	-9.0
1.7500	-11.0
1.8000	-13.0
1.8500	-14.0
1.9000	-14.0
1.9500	-13.0
2.0000	-12.0
2.0500	-10.0
2.1000	-7.0
2.1500	-4.0
2.2000	0.0
2.2500	3.0
2.3000	6.0
2.3500	9.0
2.4000	11.0
2.4500	13.0
2.5000	14.0
2.5500	14.0
2.6000	13.0
2.6500	11.0
2.7000	9.0
2.7500	6.0
2.8000	3.0
2.8500	0.0
2.9000	-3.0
2.9500	-6.0
3.0000	-9.0
3.0500	-11.0
3.1000	-13.0
3.1500	-14.0
3.2000	-14.0
3.2500	-13.0
3.3000	-11.0
3.3500	-9.0
3.4000	-6.0
3.4500	-3.0
3.5000	0.0
3.5500	3.0
3.6000	6.0
3.6500	9.0
3.7000	11.0
3.7500	13.0
3.8000	13.0
3.8500	13.0
3.9000	12.0
3.9500	11.0
4.0000	8.0
4.0500	6.0
4.1000	3.0
4.1500	-1.0
4.2000	-4.0
4.2500	-7.0
4.3000	-9.0
4.3500	-11.0
4.4000	-13.0
4.4500	-13.0
4.5000	-13.0
4.5500	-12.0
4.6000	-10.0
4.6500	-8.0
4.7000	-5.0
4.7500	-2.0
4.8000	1.0
4.8500	4.0
4.9000	7.0
4.9500	9.0
5.0000	11.0
5.0500	12.0
5.1000	13.0
5.1500	13.0
5.2000	12.0
5.2500	10.0
5.3000	8.0
5.3500	5.0
5.4000	2.0
5.4500	-1.0
5.5000	-4.0
5.5500	-7.0
5.6000	-9.0
5.6500	-11.0
5.7000	-12.0
5.7500	-13.0
5.8000	-13.0
5.8500	-12.0
5.9000	-10.0
5.9500	-8.0
6.0000	-5.0
6.0500	-2.0
6.1000	1.0
6.1500	4.0
6.2000	7.0
6.2500	9.0
6.3000	11.0
6.3500	12.0
6.4000	13.0
6.4500	12.0
6.5000	11.0
6.5500	9.0
6.6000	7.0
6.6500	4.0
6.7000	1.0
6.7500	-2.0
6.8000	-5.0
6.8500	-7.0
6.9000	-10.0
6.9500	-11.0
7.0000	-12.0
7.0500	-13.0
7.1000	-12.0
7.1500	-11.0
7.2000	-9.0
7.2500	-7.0
7.3000	-4.0
7.3500	-1.0
7.4000	2.0
7.4500	5.0
7.5000	7.0
7.5500	9.0
7.6000	11.0
7.6500	12.0
7.7000	12.0
7.7500	12.0
7.8000	11.0
7.8500	9.0
7.9000	6.0
7.9500	4.0
8.0000	1.0
8.0500	-2.0
8.1000	-5.0
8.1500	-8.0
8.2000	-10.0
8.2500	-11.0
8.3000	-12.0
8.3500	-12.0
8.4000	-12.0
8.4500	-10.0
8.5000	-8.0
8.5500	-6.0
8.6000	-3.0
8.6500	-1.0
8.7000	2.0
8.7500	5.0
8.8000	8.0
8.8500	10.0
8.9000	11.0
8.9500	12.0
9.0000	12.0
9.0500	11.0
9.1000	10.0
9.1500	8.0
9.2000	6.0
9.2500	3.0
9.3000	0.0
9.3500	-3.0
9.4000	-5.0
9.4500	-8.0
9.5000	-10.0
9.5500	-11.0
9.6000	-12.0
9.6500	-12.0
9.7000	-11.0
9.7500	-10.0
9.8000	-8.0
9.8500	-5.0
9.9000	-3.0
9.9500	0.0
10.0000	3.0
10.0500	6.0
10.1000	8.0
10.1500	10.0
10.2000	11.0
10.2500	11.0
10.3000	11.0
10.3500	11.0
10.4000	9.0
10.4500	7.0
10.5000	5.0
10.5500	2.0
10.6000	0.0
10.6500	-3.0
10.7000	-6.0
10.7500	-8.0
10.8000	-10.0
10.8500	-11.0
10.9000	-11.0
10.9500	-11.0
11.0000	-10.0
11.0500	-9.0
11.1000	-7.0
11.1500	-5.0
11.2000	-2.0
11.2500	1.0
11.3000	3.0
11.3500	6.0
11.4000	8.0
11.4500	10.0
11.5000	11.0
11.5500	11.0
11.6000	11.0
11.6500	10.0
11.7000	9.0
11.7500	7.0
11.8000	4.0
11.8500	2.0
11.9000	-1.0
11.9500	-4.0
12.0000	-6.0
12.0500	-8.0
12.1000	-10.0
12.1500	-11.0
12.2000	-11.0
12.2500	-11.0
12.3000	-10.0
12.3500	-8.0
12.4000	-6.0
12.4500	-4.0
12.5000	-1.0
12.5500	1.0
12.6000	4.0
12.6500	6.0
12.7000	8.0
12.7500	10.0
12.8000	11.0
12.8500	11.0
12.9000	11.0
12.9500	10.0
13.0000	8.0
13.0500	6.0
13.1000	4.0
13.1500	1.0
13.2000	-2.0
13.2500	-4.0
13.3000	-6.0
13.3500	-8.0
13.4000	-10.0
13.4500	-11.0
13.5000	-11.0
13.5500	-10.0
13.6000	-9.0
13.6500	-8.0
13.7000	-6.0
13.7500	-3.0
13.8000	-1.0
13.8500	2.0
13.9000	4.0
13.9500	7.0
14.0000	8.0
14.0500	10.0
14.1000	10.0
14.1500	11.0
14.2000	10.0
14.2500	9.0
14.3000	7.0
14.3500	5.0
14.4000	3.0
14.4500	0.0
14.5000	-2.0
14.5500	-5.0
14.6000	-7.0
14.6500	-8.0
14.7000	-10.0
14.7500	-10.0
14.8000	-10.0
14.8500	-10.0
14.9000	-9.0
14.9500	-7.0
15.0000	-5.0
15.0500	-3.0
15.1000	0.0
15.1500	2.0
15.2000	5.0
15.2500	7.0
15.3000	8.0
15.3500	10.0
15.4000	10.0
15.4500	10.0
15.5000	10.0
15.5500	8.0
15.6000	7.0
15.6500	5.0
15.7000	2.0
15.7500	0.0
15.8000	-3.0
15.8500	-5.0
15.9000	-7.0
15.9500	-9.0
16.0000	-10.0
16.0500	-10.0
16.1000	-10.0
16.1500	-9.0
16.2000	-8.0
16.2500	-6.0
16.3000	-4.0
16.3500	-2.0
16.4000	0.0
16.4500	3.0
16.5000	5.0
16.5500	7.0
16.6000	9.0
16.6500	10.0
16.7000	10.0
16.7500	10.0
16.8000	9.0
16.8500	8.0
16.9000	6.0
16.9500	4.0
17.0000	2.0
17.0500	-1.0
17.1000	-3.0
17.1500	-5.0
17.2000	-7.0
17.2500	-9.0
17.3000	-10.0
17.3500	-10.0
17.4000	-10.0
17.4500	-9.0
17.5000	-8.0
17.5500	-6.0
17.6000	-4.0
17.6500	-1.0
17.7000	1.0
17.7500	3.0
17.8000	5.0
17.8500	7.0
17.9000	9.0
17.9500	9.0
18.0000	10.0
18.0500	9.0
18.1000	9.0
18.1500	7.0
18.2000	5.0
18.2500	3.0
18.3000	1.0
18.3500	-1.0
18.4000	-4.0
18.4500	-6.0
18.5000	-7.0
18.5500	-9.0
18.6000	-9.0
18.6500	-10.0
18.7000	-9.0
18.7500	-8.0
18.8000	-7.0
18.8500	-5.0
18.9000	-3.0
18.9500	-1.0
19.0000	1.0
19.0500	4.0
19.1000	6.0
19.1500	7.0
19.2000	9.0
19.2500	9.0
19.3000	9.0
19.3500	9.0
19.4000	8.0
19.4500	7.0
19.5000	5.0
19.5500	3.0
19.6000	1.0
19.6500	-2.0
19.7000	-4.0
19.7500	-6.0
19.8000	-7.0
19.8500	-9.0
19.9000	-9.0
19.9500	-9.0
20.0000	-9.0
20.0500	-8.0
20.1000	-6.0
20.1500	-5.0
20.2000	-2.0
20.2500	0.0
20.3000	2.0
20.3500	4.0
20.4000	6.0
20.4500	7.0
20.5000	8.0
20.5500	9.0
20.6000	9.0
20.6500	9.0
20.7000	8.0
20.7500	6.0
20.8000	4.0
20.8500	2.0
20.9000	0.0
20.9500	-2.0
21.0000	-4.0
21.0500	-6.0
21.1000	-7.0
21.1500	-8.0
21.2000	-9.0
21.2500	-9.0
21.3000	-8.0
21.3500	-7.0
21.4000	-6.0
21.4500	-4.0
21.5000	-2.0
21.5500	0.0
21.6000	2.0
21.6500	4.0
21.7000	6.0
21.7500	7.0
21.8000	8.0
21.8500	9.0
21.9000	9.0
21.9500	8.0
22.0000	7.0
22.0500	5.0
22.1000	4.0
22.1500	2.0
22.2000	-1.0
22.2500	-3.0
22.3000	-5.0
22.3500	-6.0
22.4000	-8.0
22.4500	-8.0
22.5000	-9.0
22.5500	-9.0
22.6000	-8.0
22.6500	-7.0
22.7000	-5.0
22.7500	-3.0
22.8000	-1.0
22.8500	1.0
22.9000	3.0
22.9500	5.0
23.0000	6.0
23.0500	8.0
23.1000	8.0
23.1500	9.0
23.2000	8.0
23.2500	8.0
23.3000	6.0
23.3500	5.0
23.4000	3.0
23.4500	1.0
23.5000	-1.0
23.5500	-3.0
23.6000	-5.0
23.6500	-6.0
23.7000	-8.0
23.7500	-8.0
23.8000	-8.0
23.8500	-8.0
23.9000	-7.0
23.9500	-6.0
24.0000	-5.0
24.0500	-3.0
24.1000	-1.0
24.1500	1.0
24.2000	3.0
24.2500	5.0
24.3000	6.0
24.3500	7.0
24.4000	8.0
24.4500	8.0
24.5000	8.0
24.5500	7.0
24.6000	6.0
24.6500	4.0
24.7000	2.0
24.7500	1.0
24.8000	-1.0
24.8500	-3.0
24.9000	-5.0
24.9500	-6.0
25.0000	-7.0
25.0500	-8.0
25.1000	-8.0
25.1500	-8.0
25.2000	-7.0
25.2500	-6.0
25.3000	-4.0
25.3500	-2.0
25.4000	0.0
25.4500	2.0
25.5000	4.0
25.5500	5.0
25.6000	6.0
25.6500	7.0
25.7000	8.0
25.7500	8.0
25.8000	8.0
25.8500	7.0
25.9000	5.0
25.9500	4.0
26.0000	2.0
26.0500	0.0
26.1000	-2.0
26.1500	-4.0
26.2000	-5.0
26.2500	-7.0
26.3000	-7.0
26.3500	-8.0
26.4000	-8.0
26.4500	-7.0
26.5000	-6.0
26.5500	-5.0
26.6000	-3.0
26.6500	-2.0
26.7000	0.0
26.7500	2.0
26.8000	4.0
26.8500	5.0
26.9000	7.0
26.9500	7.0
27.0000	8.0
27.0500	8.0
27.1000	7.0
27.1500	6.0
27.2000	5.0
27.2500	3.0
27.3000	1.0
27.3500	-1.0
27.4000	-2.0
27.4500	-4.0
27.5000	-5.0
27.5500	-7.0
27.6000	-7.0
27.6500	-8.0
27.7000	-7.0
27.7500	-7.0
27.8000	-6.0
27.8500	-4.0
27.9000	-3.0
27.9500	-1.0
28.0000	1.0
28.0500	3.0
28.1000	4.0
28.1500	6.0
28.2000	7.0
28.2500	7.0
28.3000	7.0
28.3500	7.0
28.4000	7.0
28.4500	6.0
28.5000	4.0
28.5500	3.0
28.6000	1.0
28.6500	-1.0
28.7000	-3.0
28.7500	-4.0
28.8000	-6.0
28.8500	-7.0
28.9000	-7.0
28.9500	-7.0
29.0000	-7.0
29.0500	-6.0
29.1000	-5.0
29.1500	-4.0
29.2000	-2.0
29.2500	-1.0
29.3000	1.0
29.3500	3.0
29.4000	4.0
29.4500	6.0
29.5000	7.0
29.5500	7.0
29.6000	7.0
29.6500	7.0
29.7000	6.0
29.7500	5.0
29.8000	4.0
29.8500	2.0
29.9000	0.0
29.9500	-2.0
30.0000	-3.0
30.0500	-5.0
30.1000	-6.0
30.1500	-7.0
30.2000	-7.0
30.2500	-7.0
30.3000	-7.0
30.3500	-6.0
30.4000	-5.0
30.4500	-3.0
30.5000	-2.0
30.5500	0.0
30.6000	2.0
30.6500	3.0
30.7000	5.0
30.7500	6.0
30.8000	7.0
30.8500	7.0
30.9000	7.0
30.9500	6.0
31.0000	6.0
31.0500	4.0
31.1000	3.0
31.1500	1.0
31.2000	0.0
31.2500	-2.0
31.3000	-4.0
31.3500	-5.0
31.4000	-6.0
31.4500	-7.0
31.5000	-7.0
31.5500	-7.0
31.6000	-6.0
31.6500	-5.0
31.7000	-4.0
31.7500	-3.0
31.8000	-1.0
31.8500	1.0
31.9000	2.0
31.9500	4.0
32.0000	5.0
32.0500	6.0
32.1000	6.0
32.1500	7.0
32.2000	6.0
32.2500	6.0
32.3000	5.0
32.3500	4.0
32.4000	2.0
32.4500	1.0
32.5000	-1.0
32.5500	-2.0
32.6000	-4.0
32.6500	-5.0
32.7000	-6.0
32.7500	-6.0
32.8000	-7.0
32.8500	-6.0
32.9000	-6.0
32.9500	-5.0
33.0000	-3.0
33.0500	-2.0
33.1000	0.0
33.1500	1.0
33.2000	3.0
33.2500	4.0
33.3000	5.0
