# Posizione angolare. Can 1 e 2. Filo B 2
# Tempo ( s )	Posizione angolare ( gr )
0.0000	0.0
0.0500	-2.0
0.1000	-4.0
0.1500	-7.0
0.2000	-12.0
0.2500	-17.0
0.3000	-23.0
0.3500	-29.0
0.4000	-37.0
0.4500	-44.0
0.5000	-52.0
0.5500	-60.0
0.6000	-68.0
0.6500	-77.0
0.7000	-84.0
0.7500	-92.0
0.8000	-99.0
0.8500	-105.0
0.9000	-111.0
0.9500	-116.0
1.0000	-120.0
1.0500	-123.0
1.1000	-125.0
1.1500	-126.0
1.2000	-126.0
1.2500	-125.0
1.3000	-122.0
1.3500	-119.0
1.4000	-115.0
1.4500	-111.0
1.5000	-105.0
1.5500	-99.0
1.6000	-92.0
1.6500	-85.0
1.7000	-78.0
1.7500	-70.0
1.8000	-62.0
1.8500	-55.0
1.9000	-47.0
1.9500	-40.0
2.0000	-33.0
2.0500	-27.0
2.1000	-22.0
2.1500	-17.0
2.2000	-13.0
2.2500	-10.0
2.3000	-8.0
2.3500	-6.0
2.4000	-6.0
2.4500	-7.0
2.5000	-9.0
2.5500	-12.0
2.6000	-15.0
2.6500	-20.0
2.7000	-25.0
2.7500	-31.0
2.8000	-37.0
2.8500	-44.0
2.9000	-51.0
2.9500	-58.0
3.0000	-66.0
3.0500	-73.0
3.1000	-80.0
3.1500	-87.0
3.2000	-94.0
3.2500	-100.0
3.3000	-105.0
3.3500	-110.0
3.4000	-114.0
3.4500	-117.0
3.5000	-119.0
3.5500	-120.0
3.6000	-120.0
3.6500	-119.0
3.7000	-118.0
3.7500	-115.0
3.8000	-112.0
3.8500	-107.0
3.9000	-103.0
3.9500	-97.0
4.0000	-91.0
4.0500	-85.0
4.1000	-78.0
4.1500	-71.0
4.2000	-64.0
4.2500	-57.0
4.3000	-50.0
4.3500	-44.0
4.4000	-37.0
4.4500	-32.0
4.5000	-26.0
4.5500	-22.0
4.6000	-18.0
4.6500	-15.0
4.7000	-13.0
4.7500	-12.0
4.8000	-11.0
4.8500	-12.0
4.9000	-13.0
4.9500	-16.0
5.0000	-19.0
5.0500	-23.0
5.1000	-27.0
5.1500	-32.0
5.2000	-38.0
5.2500	-44.0
5.3000	-51.0
5.3500	-57.0
5.4000	-64.0
5.4500	-71.0
5.5000	-77.0
5.5500	-84.0
5.6000	-90.0
5.6500	-95.0
5.7000	-100.0
5.7500	-105.0
5.8000	-108.0
5.8500	-111.0
5.9000	-113.0
5.9500	-115.0
6.0000	-115.0
6.0500	-114.0
6.1000	-113.0
6.1500	-111.0
6.2000	-108.0
6.2500	-104.0
6.3000	-100.0
6.3500	-95.0
6.4000	-89.0
6.4500	-84.0
6.5000	-78.0
6.5500	-71.0
6.6000	-65.0
6.6500	-59.0
6.7000	-52.0
6.7500	-46.0
6.8000	-41.0
6.8500	-35.0
6.9000	-30.0
6.9500	-26.0
7.0000	-23.0
7.0500	-20.0
7.1000	-18.0
7.1500	-17.0
7.2000	-16.0
7.2500	-17.0
7.3000	-18.0
7.3500	-20.0
7.4000	-23.0
7.4500	-26.0
7.5000	-30.0
7.5500	-35.0
7.6000	-40.0
7.6500	-45.0
7.7000	-51.0
7.7500	-57.0
7.8000	-63.0
7.8500	-69.0
7.9000	-75.0
7.9500	-81.0
8.0000	-87.0
8.0500	-92.0
8.1000	-96.0
8.1500	-101.0
8.2000	-104.0
8.2500	-107.0
8.3000	-109.0
8.3500	-110.0
8.4000	-110.0
8.4500	-110.0
8.5000	-109.0
8.5500	-107.0
8.6000	-104.0
8.6500	-101.0
8.7000	-97.0
8.7500	-93.0
8.8000	-88.0
8.8500	-82.0
8.9000	-77.0
8.9500	-71.0
9.0000	-65.0
9.0500	-59.0
9.1000	-54.0
9.1500	-48.0
9.2000	-43.0
9.2500	-38.0
9.3000	-34.0
9.3500	-30.0
9.4000	-26.0
9.4500	-24.0
9.5000	-22.0
9.5500	-21.0
9.6000	-20.0
9.6500	-21.0
9.7000	-22.0
9.7500	-23.0
9.8000	-26.0
9.8500	-29.0
9.9000	-33.0
9.9500	-37.0
10.0000	-42.0
10.0500	-47.0
10.1000	-52.0
10.1500	-57.0
10.2000	-63.0
10.2500	-68.0
10.3000	-74.0
10.3500	-79.0
10.4000	-84.0
10.4500	-89.0
10.5000	-93.0
10.5500	-97.0
10.6000	-100.0
10.6500	-103.0
10.7000	-105.0
10.7500	-106.0
10.8000	-106.0
10.8500	-106.0
10.9000	-105.0
10.9500	-103.0
11.0000	-101.0
11.0500	-98.0
11.1000	-94.0
11.1500	-90.0
11.2000	-86.0
11.2500	-81.0
11.3000	-76.0
11.3500	-71.0
11.4000	-65.0
11.4500	-60.0
11.5000	-55.0
11.5500	-50.0
11.6000	-45.0
11.6500	-41.0
11.7000	-37.0
11.7500	-33.0
11.8000	-30.0
11.8500	-28.0
11.9000	-26.0
11.9500	-25.0
12.0000	-24.0
12.0500	-24.0
12.1000	-25.0
12.1500	-27.0
12.2000	-29.0
12.2500	-32.0
12.3000	-35.0
12.3500	-39.0
12.4000	-43.0
12.4500	-48.0
12.5000	-53.0
12.5500	-58.0
12.6000	-63.0
12.6500	-68.0
12.7000	-73.0
12.7500	-77.0
12.8000	-82.0
12.8500	-86.0
12.9000	-90.0
12.9500	-94.0
13.0000	-97.0
13.0500	-99.0
13.1000	-101.0
13.1500	-102.0
13.2000	-102.0
13.2500	-102.0
13.3000	-101.0
13.3500	-100.0
13.4000	-98.0
13.4500	-95.0
13.5000	-92.0
13.5500	-88.0
13.6000	-84.0
13.6500	-80.0
13.7000	-75.0
13.7500	-71.0
13.8000	-66.0
13.8500	-61.0
13.9000	-56.0
13.9500	-52.0
14.0000	-47.0
14.0500	-43.0
14.1000	-40.0
14.1500	-36.0
14.2000	-33.0
14.2500	-31.0
14.3000	-29.0
14.3500	-28.0
14.4000	-28.0
14.4500	-28.0
14.5000	-29.0
14.5500	-30.0
14.6000	-32.0
14.6500	-35.0
14.7000	-38.0
14.7500	-41.0
14.8000	-45.0
14.8500	-49.0
14.9000	-53.0
14.9500	-58.0
15.0000	-62.0
15.0500	-67.0
15.1000	-71.0
15.1500	-76.0
15.2000	-80.0
15.2500	-84.0
15.3000	-87.0
15.3500	-91.0
15.4000	-93.0
15.4500	-96.0
15.5000	-97.0
15.5500	-98.0
15.6000	-99.0
15.6500	-99.0
15.7000	-98.0
15.7500	-97.0
15.8000	-95.0
15.8500	-92.0
15.9000	-90.0
15.9500	-86.0
16.0000	-83.0
16.0500	-79.0
16.1000	-75.0
16.1500	-70.0
16.2000	-66.0
16.2500	-62.0
16.3000	-57.0
16.3500	-53.0
16.4000	-49.0
16.4500	-46.0
16.5000	-42.0
16.5500	-39.0
16.6000	-37.0
16.6500	-35.0
16.7000	-33.0
16.7500	-32.0
16.8000	-32.0
16.8500	-32.0
16.9000	-32.0
16.9500	-34.0
17.0000	-35.0
17.0500	-37.0
17.1000	-40.0
17.1500	-43.0
17.2000	-47.0
17.2500	-50.0
17.3000	-54.0
17.3500	-58.0
17.4000	-62.0
17.4500	-66.0
17.5000	-70.0
17.5500	-74.0
17.6000	-78.0
17.6500	-82.0
17.7000	-85.0
17.7500	-88.0
17.8000	-90.0
17.8500	-92.0
17.9000	-94.0
17.9500	-95.0
18.0000	-95.0
18.0500	-95.0
18.1000	-95.0
18.1500	-93.0
18.2000	-92.0
18.2500	-90.0
18.3000	-87.0
18.3500	-84.0
18.4000	-81.0
18.4500	-78.0
18.5000	-74.0
18.5500	-70.0
18.6000	-67.0
18.6500	-63.0
18.7000	-59.0
18.7500	-55.0
18.8000	-51.0
18.8500	-48.0
18.9000	-45.0
18.9500	-42.0
19.0000	-40.0
19.0500	-38.0
19.1000	-37.0
19.1500	-36.0
19.2000	-35.0
19.2500	-35.0
19.3000	-36.0
19.3500	-37.0
19.4000	-38.0
19.4500	-40.0
19.5000	-42.0
19.5500	-45.0
19.6000	-48.0
19.6500	-51.0
19.7000	-55.0
19.7500	-58.0
19.8000	-62.0
19.8500	-65.0
19.9000	-69.0
19.9500	-73.0
20.0000	-76.0
20.0500	-79.0
20.1000	-82.0
20.1500	-85.0
20.2000	-87.0
20.2500	-89.0
20.3000	-90.0
20.3500	-91.0
20.4000	-92.0
20.4500	-92.0
20.5000	-91.0
20.5500	-91.0
20.6000	-89.0
20.6500	-87.0
20.7000	-85.0
20.7500	-83.0
20.8000	-80.0
20.8500	-77.0
20.9000	-74.0
20.9500	-71.0
21.0000	-67.0
21.0500	-64.0
21.1000	-60.0
21.1500	-57.0
21.2000	-54.0
21.2500	-51.0
21.3000	-48.0
21.3500	-45.0
21.4000	-43.0
21.4500	-41.0
21.5000	-40.0
21.5500	-39.0
21.6000	-39.0
21.6500	-38.0
21.7000	-39.0
21.7500	-40.0
21.8000	-41.0
21.8500	-42.0
21.9000	-44.0
21.9500	-47.0
22.0000	-49.0
22.0500	-52.0
22.1000	-55.0
22.1500	-58.0
22.2000	-61.0
22.2500	-64.0
22.3000	-68.0
22.3500	-71.0
22.4000	-74.0
22.4500	-77.0
22.5000	-79.0
22.5500	-82.0
22.6000	-84.0
22.6500	-85.0
22.7000	-87.0
22.7500	-88.0
22.8000	-88.0
22.8500	-89.0
22.9000	-88.0
22.9500	-88.0
23.0000	-87.0
23.0500	-85.0
23.1000	-83.0
23.1500	-81.0
23.2000	-79.0
23.2500	-76.0
23.3000	-74.0
23.3500	-71.0
23.4000	-68.0
23.4500	-65.0
23.5000	-62.0
23.5500	-59.0
23.6000	-56.0
23.6500	-53.0
23.7000	-51.0
23.7500	-48.0
23.8000	-46.0
23.8500	-45.0
23.9000	-43.0
23.9500	-43.0
24.0000	-42.0
24.0500	-42.0
24.1000	-42.0
24.1500	-42.0
24.2000	-43.0
24.2500	-45.0
24.3000	-46.0
24.3500	-48.0
24.4000	-50.0
24.4500	-52.0
24.5000	-55.0
24.5500	-58.0
24.6000	-60.0
24.6500	-63.0
24.7000	-66.0
24.7500	-69.0
24.8000	-71.0
24.8500	-74.0
24.9000	-76.0
24.9500	-78.0
25.0000	-80.0
25.0500	-82.0
25.1000	-83.0
25.1500	-84.0
25.2000	-85.0
25.2500	-85.0
25.3000	-85.0
25.3500	-85.0
25.4000	-84.0
25.4500	-83.0
25.5000	-82.0
25.5500	-80.0
25.6000	-78.0
25.6500	-76.0
25.7000	-74.0
25.7500	-71.0
25.8000	-69.0
25.8500	-66.0
25.9000	-64.0
25.9500	-61.0
26.0000	-59.0
26.0500	-56.0
26.1000	-54.0
26.1500	-52.0
26.2000	-50.0
26.2500	-49.0
26.3000	-47.0
26.3500	-46.0
26.4000	-45.0
26.4500	-45.0
26.5000	-45.0
26.5500	-45.0
26.6000	-46.0
26.6500	-47.0
26.7000	-48.0
26.7500	-49.0
26.8000	-51.0
26.8500	-53.0
26.9000	-55.0
26.9500	-57.0
27.0000	-59.0
27.0500	-61.0
27.1000	-64.0
27.1500	-66.0
27.2000	-68.0
27.2500	-71.0
27.3000	-73.0
27.3500	-75.0
27.4000	-77.0
27.4500	-78.0
27.5000	-80.0
27.5500	-81.0
27.6000	-82.0
27.6500	-82.0
27.7000	-82.0
27.7500	-82.0
27.8000	-82.0
27.8500	-81.0
27.9000	-80.0
27.9500	-79.0
28.0000	-77.0
28.0500	-76.0
28.1000	-74.0
28.1500	-72.0
28.2000	-70.0
28.2500	-68.0
28.3000	-66.0
28.3500	-63.0
28.4000	-61.0
28.4500	-59.0
28.5000	-57.0
28.5500	-55.0
28.6000	-54.0
28.6500	-52.0
28.7000	-51.0
28.7500	-50.0
28.8000	-49.0
28.8500	-48.0
28.9000	-48.0
28.9500	-48.0
29.0000	-48.0
