# Posizione angolare. Can 1 e 2. Filo C
# Tempo ( s )	Posizione angolare ( gr )
0.0000	0.0
0.0500	0.0
0.1000	0.0
0.1500	0.0
0.2000	0.0
0.2500	0.0
0.3000	-1.0
0.3500	-1.0
0.4000	-2.0
0.4500	-4.0
0.5000	-6.0
0.5500	-8.0
0.6000	-11.0
0.6500	-14.0
0.7000	-17.0
0.7500	-21.0
0.8000	-25.0
0.8500	-30.0
0.9000	-34.0
0.9500	-39.0
1.0000	-44.0
1.0500	-49.0
1.1000	-55.0
1.1500	-60.0
1.2000	-66.0
1.2500	-71.0
1.3000	-77.0
1.3500	-82.0
1.4000	-88.0
1.4500	-93.0
1.5000	-98.0
1.5500	-103.0
1.6000	-107.0
1.6500	-112.0
1.7000	-116.0
1.7500	-120.0
1.8000	-123.0
1.8500	-127.0
1.9000	-129.0
1.9500	-132.0
2.0000	-134.0
2.0500	-135.0
2.1000	-137.0
2.1500	-137.0
2.2000	-138.0
2.2500	-138.0
2.3000	-137.0
2.3500	-136.0
2.4000	-135.0
2.4500	-133.0
2.5000	-131.0
2.5500	-128.0
2.6000	-125.0
2.6500	-122.0
2.7000	-118.0
2.7500	-114.0
2.8000	-110.0
2.8500	-106.0
2.9000	-101.0
2.9500	-96.0
3.0000	-91.0
3.0500	-86.0
3.1000	-81.0
3.1500	-76.0
3.2000	-71.0
3.2500	-65.0
3.3000	-60.0
3.3500	-55.0
3.4000	-50.0
3.4500	-45.0
3.5000	-40.0
3.5500	-36.0
3.6000	-31.0
3.6500	-27.0
3.7000	-24.0
3.7500	-20.0
3.8000	-17.0
3.8500	-14.0
3.9000	-12.0
3.9500	-10.0
4.0000	-9.0
4.0500	-7.0
4.1000	-7.0
4.1500	-6.0
4.2000	-6.0
4.2500	-7.0
4.3000	-8.0
4.3500	-9.0
4.4000	-11.0
4.4500	-13.0
4.5000	-16.0
4.5500	-18.0
4.6000	-22.0
4.6500	-25.0
4.7000	-29.0
4.7500	-33.0
4.8000	-37.0
4.8500	-42.0
4.9000	-46.0
4.9500	-51.0
5.0000	-56.0
5.0500	-61.0
5.1000	-66.0
5.1500	-71.0
5.2000	-76.0
5.2500	-81.0
5.3000	-86.0
5.3500	-91.0
5.4000	-96.0
5.4500	-100.0
5.5000	-105.0
5.5500	-109.0
5.6000	-113.0
5.6500	-116.0
5.7000	-119.0
5.7500	-122.0
5.8000	-125.0
5.8500	-127.0
5.9000	-129.0
5.9500	-130.0
6.0000	-132.0
6.0500	-132.0
6.1000	-133.0
6.1500	-132.0
6.2000	-132.0
6.2500	-131.0
6.3000	-130.0
6.3500	-128.0
6.4000	-126.0
6.4500	-124.0
6.5000	-121.0
6.5500	-118.0
6.6000	-115.0
6.6500	-111.0
6.7000	-107.0
6.7500	-103.0
6.8000	-99.0
6.8500	-94.0
6.9000	-90.0
6.9500	-85.0
7.0000	-80.0
7.0500	-75.0
7.1000	-71.0
7.1500	-66.0
7.2000	-61.0
7.2500	-56.0
7.3000	-51.0
7.3500	-47.0
7.4000	-42.0
7.4500	-38.0
7.5000	-34.0
7.5500	-31.0
7.6000	-27.0
7.6500	-24.0
7.7000	-21.0
7.7500	-19.0
7.8000	-16.0
7.8500	-15.0
7.9000	-13.0
7.9500	-12.0
8.0000	-11.0
8.0500	-11.0
8.1000	-11.0
8.1500	-12.0
8.2000	-13.0
8.2500	-14.0
8.3000	-16.0
8.3500	-17.0
8.4000	-20.0
8.4500	-22.0
8.5000	-25.0
8.5500	-29.0
8.6000	-32.0
8.6500	-36.0
8.7000	-40.0
8.7500	-44.0
8.8000	-48.0
8.8500	-53.0
8.9000	-57.0
8.9500	-62.0
9.0000	-67.0
9.0500	-72.0
9.1000	-76.0
9.1500	-81.0
9.2000	-85.0
9.2500	-90.0
9.3000	-94.0
9.3500	-98.0
9.4000	-102.0
9.4500	-106.0
9.5000	-110.0
9.5500	-113.0
9.6000	-116.0
9.6500	-119.0
9.7000	-121.0
9.7500	-123.0
9.8000	-125.0
9.8500	-126.0
9.9000	-127.0
9.9500	-128.0
10.0000	-128.0
10.0500	-128.0
10.1000	-127.0
10.1500	-126.0
10.2000	-125.0
10.2500	-124.0
10.3000	-122.0
10.3500	-119.0
10.4000	-117.0
10.4500	-114.0
10.5000	-111.0
10.5500	-108.0
10.6000	-104.0
10.6500	-100.0
10.7000	-96.0
10.7500	-92.0
10.8000	-88.0
10.8500	-84.0
10.9000	-79.0
10.9500	-75.0
11.0000	-70.0
11.0500	-66.0
11.1000	-61.0
11.1500	-57.0
11.2000	-53.0
11.2500	-48.0
11.3000	-44.0
11.3500	-40.0
11.4000	-37.0
11.4500	-33.0
11.5000	-30.0
11.5500	-27.0
11.6000	-25.0
11.6500	-22.0
11.7000	-20.0
11.7500	-19.0
11.8000	-18.0
11.8500	-17.0
11.9000	-16.0
11.9500	-16.0
12.0000	-16.0
12.0500	-16.0
12.1000	-17.0
12.1500	-18.0
12.2000	-20.0
12.2500	-22.0
12.3000	-24.0
12.3500	-26.0
12.4000	-29.0
12.4500	-32.0
12.5000	-36.0
12.5500	-39.0
12.6000	-43.0
12.6500	-47.0
12.7000	-51.0
12.7500	-55.0
12.8000	-59.0
12.8500	-63.0
12.9000	-68.0
12.9500	-72.0
13.0000	-76.0
13.0500	-81.0
13.1000	-85.0
13.1500	-89.0
13.2000	-93.0
13.2500	-97.0
13.3000	-100.0
13.3500	-104.0
13.4000	-107.0
13.4500	-110.0
13.5000	-113.0
13.5500	-115.0
13.6000	-117.0
13.6500	-119.0
13.7000	-121.0
13.7500	-122.0
13.8000	-123.0
13.8500	-123.0
13.9000	-123.0
13.9500	-123.0
14.0000	-123.0
14.0500	-122.0
14.1000	-121.0
14.1500	-119.0
14.2000	-117.0
14.2500	-115.0
14.3000	-113.0
14.3500	-110.0
14.4000	-107.0
14.4500	-104.0
14.5000	-101.0
14.5500	-97.0
14.6000	-94.0
14.6500	-90.0
14.7000	-86.0
14.7500	-82.0
14.8000	-78.0
14.8500	-74.0
14.9000	-69.0
14.9500	-65.0
15.0000	-61.0
15.0500	-57.0
15.1000	-53.0
15.1500	-49.0
15.2000	-46.0
15.2500	-42.0
15.3000	-39.0
15.3500	-36.0
15.4000	-33.0
15.4500	-30.0
15.5000	-28.0
15.5500	-26.0
15.6000	-24.0
15.6500	-23.0
15.7000	-21.0
15.7500	-21.0
15.8000	-20.0
15.8500	-20.0
15.9000	-20.0
15.9500	-21.0
16.0000	-22.0
16.0500	-23.0
16.1000	-24.0
16.1500	-26.0
16.2000	-28.0
16.2500	-30.0
16.3000	-33.0
16.3500	-36.0
16.4000	-39.0
16.4500	-42.0
16.5000	-46.0
16.5500	-49.0
16.6000	-53.0
16.6500	-57.0
16.7000	-61.0
16.7500	-65.0
16.8000	-69.0
16.8500	-73.0
16.9000	-77.0
16.9500	-80.0
17.0000	-84.0
17.0500	-88.0
17.1000	-92.0
17.1500	-95.0
17.2000	-99.0
17.2500	-102.0
17.3000	-105.0
17.3500	-107.0
17.4000	-110.0
17.4500	-112.0
17.5000	-114.0
17.5500	-116.0
17.6000	-117.0
17.6500	-118.0
17.7000	-119.0
17.7500	-119.0
17.8000	-119.0
17.8500	-119.0
17.9000	-118.0
17.9500	-117.0
18.0000	-116.0
18.0500	-115.0
18.1000	-113.0
18.1500	-111.0
18.2000	-109.0
18.2500	-106.0
18.3000	-104.0
18.3500	-101.0
18.4000	-98.0
18.4500	-94.0
18.5000	-91.0
18.5500	-87.0
18.6000	-84.0
18.6500	-80.0
18.7000	-76.0
18.7500	-72.0
18.8000	-68.0
18.8500	-65.0
18.9000	-61.0
18.9500	-57.0
19.0000	-54.0
19.0500	-50.0
19.1000	-47.0
19.1500	-44.0
19.2000	-41.0
19.2500	-38.0
19.3000	-35.0
19.3500	-33.0
19.4000	-31.0
19.4500	-29.0
19.5000	-27.0
19.5500	-26.0
19.6000	-25.0
19.6500	-24.0
19.7000	-24.0
19.7500	-24.0
19.8000	-24.0
19.8500	-25.0
19.9000	-26.0
19.9500	-27.0
20.0000	-28.0
20.0500	-30.0
20.1000	-32.0
20.1500	-34.0
20.2000	-37.0
20.2500	-39.0
20.3000	-42.0
20.3500	-45.0
20.4000	-48.0
20.4500	-52.0
20.5000	-55.0
20.5500	-59.0
20.6000	-62.0
20.6500	-66.0
20.7000	-70.0
20.7500	-73.0
20.8000	-77.0
20.8500	-81.0
20.9000	-84.0
20.9500	-88.0
21.0000	-91.0
21.0500	-94.0
21.1000	-97.0
21.1500	-100.0
21.2000	-103.0
21.2500	-105.0
21.3000	-107.0
21.3500	-109.0
21.4000	-111.0
21.4500	-112.0
21.5000	-113.0
21.5500	-114.0
21.6000	-115.0
21.6500	-115.0
21.7000	-115.0
21.7500	-115.0
21.8000	-114.0
21.8500	-113.0
21.9000	-112.0
21.9500	-111.0
22.0000	-109.0
22.0500	-107.0
22.1000	-105.0
22.1500	-103.0
22.2000	-100.0
22.2500	-97.0
22.3000	-94.0
22.3500	-91.0
22.4000	-88.0
22.4500	-85.0
22.5000	-81.0
22.5500	-78.0
22.6000	-74.0
22.6500	-71.0
22.7000	-67.0
22.7500	-64.0
22.8000	-60.0
22.8500	-57.0
22.9000	-54.0
22.9500	-51.0
23.0000	-48.0
23.0500	-45.0
23.1000	-42.0
23.1500	-39.0
23.2000	-37.0
23.2500	-35.0
23.3000	-33.0
23.3500	-32.0
23.4000	-30.0
23.4500	-29.0
23.5000	-28.0
23.5500	-28.0
23.6000	-28.0
23.6500	-28.0
23.7000	-28.0
23.7500	-29.0
23.8000	-30.0
23.8500	-31.0
23.9000	-32.0
23.9500	-34.0
24.0000	-36.0
24.0500	-38.0
24.1000	-40.0
24.1500	-43.0
24.2000	-45.0
24.2500	-48.0
24.3000	-51.0
24.3500	-54.0
24.4000	-58.0
24.4500	-61.0
24.5000	-64.0
24.5500	-68.0
24.6000	-71.0
24.6500	-74.0
24.7000	-78.0
24.7500	-81.0
24.8000	-84.0
24.8500	-87.0
24.9000	-90.0
24.9500	-93.0
25.0000	-96.0
25.0500	-98.0
25.1000	-101.0
25.1500	-103.0
25.2000	-105.0
25.2500	-107.0
25.3000	-108.0
25.3500	-109.0
25.4000	-110.0
25.4500	-111.0
25.5000	-111.0
25.5500	-111.0
25.6000	-111.0
25.6500	-111.0
25.7000	-110.0
25.7500	-109.0
25.8000	-108.0
25.8500	-107.0
25.9000	-105.0
25.9500	-103.0
26.0000	-101.0
26.0500	-99.0
26.1000	-97.0
26.1500	-94.0
26.2000	-91.0
26.2500	-88.0
26.3000	-85.0
26.3500	-82.0
26.4000	-79.0
26.4500	-76.0
26.5000	-73.0
26.5500	-70.0
26.6000	-66.0
26.6500	-63.0
26.7000	-60.0
26.7500	-57.0
26.8000	-54.0
26.8500	-51.0
26.9000	-48.0
26.9500	-46.0
27.0000	-43.0
27.0500	-41.0
27.1000	-39.0
27.1500	-37.0
27.2000	-36.0
27.2500	-34.0
27.3000	-33.0
27.3500	-32.0
27.4000	-32.0
27.4500	-31.0
27.5000	-31.0
27.5500	-31.0
27.6000	-32.0
27.6500	-32.0
27.7000	-33.0
27.7500	-35.0
27.8000	-36.0
27.8500	-38.0
27.9000	-39.0
27.9500	-41.0
28.0000	-44.0
28.0500	-46.0
28.1000	-49.0
28.1500	-51.0
28.2000	-54.0
28.2500	-57.0
28.3000	-60.0
28.3500	-63.0
28.4000	-66.0
28.4500	-69.0
28.5000	-72.0
28.5500	-75.0
28.6000	-78.0
28.6500	-81.0
28.7000	-84.0
28.7500	-87.0
28.8000	-90.0
28.8500	-92.0
28.9000	-95.0
28.9500	-97.0
29.0000	-99.0
29.0500	-101.0
29.1000	-103.0
29.1500	-104.0
29.2000	-105.0
29.2500	-106.0
29.3000	-107.0
29.3500	-108.0
29.4000	-108.0
29.4500	-108.0
29.5000	-108.0
29.5500	-107.0
29.6000	-107.0
29.6500	-106.0
29.7000	-104.0
29.7500	-103.0
29.8000	-101.0
29.8500	-100.0
29.9000	-98.0
29.9500	-96.0
30.0000	-93.0
30.0500	-91.0
30.1000	-88.0
30.1500	-86.0
30.2000	-83.0
30.2500	-80.0
30.3000	-77.0
30.3500	-74.0
30.4000	-71.0
30.4500	-68.0
30.5000	-65.0
30.5500	-62.0
30.6000	-59.0
30.6500	-57.0
30.7000	-54.0
30.7500	-51.0
30.8000	-49.0
30.8500	-47.0
30.9000	-45.0
30.9500	-43.0
31.0000	-41.0
31.0500	-39.0
31.1000	-38.0
31.1500	-37.0
31.2000	-36.0
31.2500	-35.0
31.3000	-35.0
31.3500	-35.0
31.4000	-35.0
31.4500	-35.0
31.5000	-35.0
31.5500	-36.0
