# Posizione. Oscillazioni forzate 3.00 V
# Tempo ( s )	Posizione ( m )
0.000000	0.0000
2.081136	0.0500
4.161202	0.1000
6.236082	0.1500
8.282890	0.2000
10.322828	0.2500
12.359446	0.3000
14.430538	0.3500
16.551512	0.4000
18.652652	0.4500
20.746756	0.5000
22.822800	0.5500
24.914850	0.6000
26.986516	0.6500
29.079764	0.7000
31.153130	0.7500
33.196264	0.8000
35.246072	0.8500
37.295632	0.9000
39.328670	0.9500
41.344554	1.0000
43.358170	1.0500
45.392240	1.1000
47.435796	1.1500
49.450414	1.2000
51.472832	1.2500
53.564700	1.3000
55.643902	1.3500
57.681916	1.4000
59.706610	1.4500
61.718262	1.5000
63.738894	1.5500
65.729894	1.6000
67.755326	1.6500
69.809584	1.7000
71.897094	1.7500
73.961956	1.8000
76.030474	1.8500
78.049684	1.9000
80.107068	1.9500
82.154630	2.0000
84.240630	2.0500
86.315168	2.1000
88.377994	2.1500
90.437698	2.2000
92.516710	2.2500
94.546822	2.3000
96.554286	2.3500
98.553876	2.4000
100.569640	2.4500
102.519300	2.5000
104.403230	2.5500
106.375394	2.6000
108.367682	2.6500
110.352446	2.7000
112.374972	2.7500
114.382506	2.8000
116.378710	2.8500
118.368950	2.9000
120.361574	2.9500
122.350664	3.0000
124.339926	3.0500
126.322546	3.1000
128.300878	3.1500
130.248098	3.2000
132.184826	3.2500
134.118762	3.3000
136.049606	3.3500
138.013908	3.4000
139.962466	3.4500
141.874316	3.5000
143.760706	3.5500
145.690894	3.6000
147.646712	3.6500
149.628404	3.7000
151.609908	3.7500
153.579066	3.8000
155.551196	3.8500
157.525422	3.9000
159.512200	3.9500
161.516334	4.0000
163.530352	4.0500
165.560290	4.1000
167.596520	4.1500
169.620992	4.2000
171.637982	4.2500
173.639584	4.3000
175.642460	4.3500
177.656898	4.4000
179.681848	4.4500
181.686154	4.5000
183.706410	4.5500
185.744578	4.6000
187.784094	4.6500
189.824788	4.7000
191.866290	4.7500
193.912724	4.8000
195.964258	4.8500
198.023384	4.9000
200.087698	4.9500
202.134066	5.0000
204.196436	5.0500
206.258552	5.1000
208.316310	5.1500
210.381182	5.2000
212.432358	5.2500
214.493730	5.3000
216.552138	5.3500
218.611146	5.4000
220.672062	5.4500
222.709684	5.5000
224.744912	5.5500
226.782688	5.6000
228.819992	5.6500
230.865722	5.7000
232.894582	5.7500
234.947730	5.8000
237.013350	5.8500
239.082008	5.9000
241.143882	5.9500
243.191490	6.0000
245.241220	6.0500
247.288754	6.1000
249.353236	6.1500
251.436056	6.2000
253.486070	6.2500
255.528234	6.3000
257.576236	6.3500
259.629242	6.4000
261.687658	6.4500
263.728678	6.5000
265.804678	6.5500
267.867498	6.6000
269.932638	6.6500
271.995494	6.7000
274.054670	6.7500
276.120262	6.8000
278.166612	6.8500
280.210628	6.9000
282.282930	6.9500
284.361450	7.0000
286.429292	7.0500
288.493014	7.1000
290.556060	7.1500
292.634420	7.2000
294.701608	7.2500
296.774320	7.3000
298.835882	7.3500
300.904928	7.4000
