Posizione, Raccolta #10
Tempo ( s )	Posizione ( m )
0,000000	0,0000
1,477076	0,0500
2,951130	0,1000
4,440246	0,1500
5,942084	0,2000
7,444682	0,2500
8,943490	0,3000
10,439606	0,3500
11,926122	0,4000
13,418666	0,4500
14,909564	0,5000
16,397326	0,5500
17,877518	0,6000
19,343720	0,6500
20,821874	0,7000
22,299192	0,7500
23,771562	0,8000
25,255246	0,8500
26,739654	0,9000
28,194510	0,9500
29,648524	1,0000
31,115274	1,0500
32,592936	1,1000
34,090880	1,1500
35,589060	1,2000
37,076158	1,2500
38,561782	1,3000
40,048264	1,3500
41,533886	1,4000
43,021676	1,4500
44,486290	1,5000
45,970506	1,5500
47,452300	1,6000
48,923058	1,6500
50,408952	1,7000
51,907580	1,7500
53,396200	1,8000
54,873964	1,8500
56,351746	1,9000
57,844668	1,9500
59,324016	2,0000
60,792550	2,0500
62,241050	2,1000
63,704862	2,1500
65,184132	2,2000
66,667064	2,2500
68,233982	2,3000
75,152538	2,3500
