Posizione, Oscillazioni forzate 1.50
Tempo ( s )	Posizione ( m )
0,000000	0,0000
5,862528	0,0500
11,433046	0,1000
16,773140	0,1500
22,154844	0,2000
27,987200	0,2500
33,936008	0,3000
39,794538	0,3500
45,593996	0,4000
51,393404	0,4500
57,020094	0,5000
62,293350	0,5500
67,521406	0,6000
72,946300	0,6500
78,227128	0,7000
83,871182	0,7500
89,574694	0,8000
95,376094	0,8500
101,181258	0,9000
106,754496	0,9500
112,331208	1,0000
117,997304	1,0500
123,404062	1,1000
128,787900	1,1500
134,134042	1,2000
139,558022	1,2500
145,112664	1,3000
150,703426	1,3500
156,013282	1,4000
161,159108	1,4500
166,649002	1,5000
172,048048	1,5500
177,427158	1,6000
182,878060	1,6500
187,760044	1,7000
193,285980	1,7500
198,781274	1,8000
204,170160	1,8500
209,568730	1,9000
215,060354	1,9500
220,472732	2,0000
225,926010	2,0500
231,604032	2,1000
237,088444	2,1500
242,531514	2,2000
248,170100	2,2500
253,963650	2,3000
259,696718	2,3500
265,285126	2,4000
270,814662	2,4500
276,434608	2,5000
281,943816	2,5500
