Posizione, Oscillazioni forzate 2.70 V
Tempo ( s )	Posizione ( m )
0,000000	0,0000
2,362080	0,0500
4,709048	0,1000
7,052164	0,1500
9,397718	0,2000
11,736446	0,2500
14,085128	0,3000
16,440984	0,3500
18,817656	0,4000
21,181858	0,4500
23,543180	0,5000
25,934822	0,5500
28,375668	0,6000
30,812780	0,6500
33,251456	0,7000
35,690474	0,7500
38,120908	0,8000
40,551510	0,8500
43,004064	0,9000
45,455092	0,9500
47,900460	1,0000
50,305254	1,0500
52,691134	1,1000
55,117338	1,1500
57,542810	1,2000
59,978966	1,2500
62,439266	1,3000
64,925312	1,3500
67,414426	1,4000
69,879426	1,4500
72,339132	1,5000
74,792082	1,5500
77,234862	1,6000
79,702694	1,6500
82,169236	1,7000
84,621164	1,7500
87,093584	1,8000
89,576246	1,8500
92,069542	1,9000
94,579542	1,9500
97,103668	2,0000
99,554252	2,0500
102,061510	2,1000
104,546844	2,1500
107,019928	2,2000
109,458676	2,2500
111,927452	2,3000
114,385880	2,3500
116,805390	2,4000
119,254360	2,4500
121,701640	2,5000
124,192630	2,5500
126,674922	2,6000
129,136550	2,6500
131,589374	2,7000
134,054398	2,7500
136,494714	2,8000
138,944304	2,8500
141,387158	2,9000
143,842858	2,9500
146,294440	3,0000
148,729382	3,0500
151,120508	3,1000
153,518356	3,1500
155,963902	3,2000
158,414958	3,2500
160,859946	3,3000
163,305156	3,3500
165,748336	3,4000
168,117846	3,4500
170,459406	3,5000
172,784998	3,5500
175,152738	3,6000
177,549514	3,6500
179,974468	3,7000
182,373030	3,7500
184,783072	3,8000
187,180710	3,8500
189,587480	3,9000
191,999538	3,9500
194,408382	4,0000
196,852768	4,0500
199,288880	4,1000
201,706058	4,1500
204,100434	4,2000
206,519060	4,2500
208,927424	4,3000
211,350854	4,3500
213,762712	4,4000
216,172452	4,4500
218,590520	4,5000
221,008604	4,5500
223,441428	4,6000
225,851644	4,6500
228,227616	4,7000
230,613598	4,7500
232,984012	4,8000
235,333686	4,8500
237,719442	4,9000
240,130458	4,9500
242,542048	5,0000
244,929576	5,0500
247,265530	5,1000
249,589576	5,1500
251,912372	5,2000
254,234542	5,2500
256,604588	5,3000
259,008548	5,3500
