Posizione angolare, Oscillazioni libere
Tempo ( s )	Posizione angolare ( rad )
0,0000	0,644
0,0400	0,999
0,0800	1,415
0,1200	1,882
0,1600	2,381
0,2000	2,901
0,2400	3,423
0,2800	3,933
0,3200	4,419
0,3600	4,863
0,4000	5,257
0,4400	5,589
0,4800	5,847
0,5200	6,022
0,5600	6,112
0,6000	6,117
0,6400	6,033
0,6800	5,868
0,7200	5,625
0,7600	5,312
0,8000	4,939
0,8400	4,513
0,8800	4,050
0,9200	3,559
0,9600	3,057
1,0000	2,556
1,0400	2,070
1,0800	1,615
1,1200	1,205
1,1600	0,851
1,2000	0,565
1,2400	0,355
1,2800	0,226
1,3200	0,182
1,3600	0,223
1,4000	0,347
1,4400	0,551
1,4800	0,828
1,5200	1,172
1,5600	1,568
1,6000	2,009
1,6400	2,482
1,6800	2,969
1,7200	3,459
1,7600	3,936
1,8000	4,389
1,8400	4,802
1,8800	5,165
1,9200	5,466
1,9600	5,700
2,0000	5,858
2,0400	5,934
2,0800	5,931
2,1200	5,847
2,1600	5,683
2,2000	5,449
2,2400	5,149
2,2800	4,791
2,3200	4,386
2,3600	3,944
2,4000	3,479
2,4400	3,003
2,4800	2,532
2,5200	2,077
2,5600	1,651
2,6000	1,269
2,6400	0,942
2,6800	0,682
2,7200	0,492
2,7600	0,379
2,8000	0,346
2,8400	0,394
2,8800	0,518
2,9200	0,718
2,9600	0,986
3,0000	1,316
3,0400	1,696
3,0800	2,116
3,1200	2,562
3,1600	3,022
3,2000	3,484
3,2400	3,933
3,2800	4,356
3,3200	4,741
3,3600	5,077
3,4000	5,355
3,4400	5,568
3,4800	5,708
3,5200	5,773
3,5600	5,760
3,6000	5,671
3,6400	5,509
3,6800	5,281
3,7200	4,990
3,7600	4,648
3,8000	4,260
3,8400	3,842
3,8800	3,402
3,9200	2,953
3,9600	2,510
4,0000	2,084
4,0400	1,689
4,0800	1,335
4,1200	1,034
4,1600	0,795
4,2000	0,624
4,2400	0,528
4,2800	0,507
4,3200	0,562
4,3600	0,691
4,4000	0,889
4,4400	1,151
4,4800	1,470
4,5200	1,835
4,5600	2,235
4,6000	2,659
4,6400	3,094
4,6800	3,528
4,7200	3,947
4,7600	4,342
4,8000	4,698
4,8400	5,008
4,8800	5,261
4,9200	5,449
4,9600	5,570
5,0000	5,619
5,0400	5,595
5,0800	5,498
5,1200	5,334
5,1600	5,108
5,2000	4,827
5,2400	4,496
5,2800	4,128
5,3200	3,729
5,3600	3,314
5,4000	2,893
5,4400	2,480
5,4800	2,083
5,5200	1,718
5,5600	1,395
5,6000	1,122
5,6400	0,906
5,6800	0,759
5,7200	0,680
5,7600	0,672
5,8000	0,737
5,8400	0,869
5,8800	1,065
5,9200	1,321
5,9600	1,629
6,0000	1,979
6,0400	2,359
6,0800	2,761
6,1200	3,170
6,1600	3,575
6,2000	3,965
6,2400	4,329
6,2800	4,656
6,3200	4,937
6,3600	5,163
6,4000	5,328
6,4400	5,429
6,4800	5,460
6,5200	5,424
6,5600	5,322
6,6000	5,155
6,6400	4,932
6,6800	4,657
6,7200	4,340
6,7600	3,987
6,8000	3,610
6,8400	3,219
6,8800	2,824
6,9200	2,439
6,9600	2,072
7,0000	1,737
7,0400	1,444
7,0800	1,199
7,1200	1,010
7,1600	0,884
7,2000	0,823
7,2400	0,831
7,2800	0,905
7,3200	1,043
7,3600	1,241
7,4000	1,492
7,4400	1,789
7,4800	2,124
7,5200	2,485
7,5600	2,864
7,6000	3,247
7,6400	3,624
7,6800	3,985
7,7200	4,318
7,7600	4,617
7,8000	4,869
7,8400	5,069
7,8800	5,212
7,9200	5,292
7,9600	5,308
8,0000	5,259
8,0400	5,151
8,0800	4,984
8,1200	4,764
8,1600	4,497
8,2000	4,192
8,2400	3,856
8,2800	3,500
8,3200	3,132
8,3600	2,765
8,4000	2,406
8,4400	2,069
8,4800	1,762
8,5200	1,497
8,5600	1,279
8,6000	1,115
8,6400	1,010
8,6800	0,968
8,7200	0,988
8,7600	1,070
8,8000	1,211
8,8400	1,404
8,8800	1,648
8,9200	1,932
8,9600	2,249
9,0000	2,590
9,0400	2,945
9,0800	3,302
9,1200	3,652
9,1600	3,984
9,2000	4,290
9,2400	4,558
9,2800	4,786
9,3200	4,964
9,3600	5,086
9,4000	5,149
9,4400	5,152
9,4800	5,097
9,5200	4,984
9,5600	4,819
9,6000	4,606
9,6400	4,350
9,6800	4,059
9,7200	3,742
9,7600	3,405
9,8000	3,061
9,8400	2,719
9,8800	2,389
9,9200	2,080
9,9600	1,800
10,0000	1,560
10,0400	1,367
10,0800	1,225
10,1200	1,139
10,1600	1,112
10,2000	1,142
10,2400	1,230
10,2800	1,371
10,3200	1,563
10,3600	1,797
10,4000	2,069
10,4400	2,369
10,4800	2,689
10,5200	3,021
10,5600	3,352
10,6000	3,674
10,6400	3,979
10,6800	4,257
10,7200	4,500
10,7600	4,703
10,8000	4,857
10,8400	4,959
10,8800	5,008
10,9200	5,000
10,9600	4,937
11,0000	4,822
11,0400	4,661
11,0800	4,455
11,1200	4,211
11,1600	3,936
11,2000	3,640
11,2400	3,327
11,2800	3,010
11,3200	2,695
11,3600	2,394
11,4000	2,113
11,4400	1,861
11,4800	1,646
11,5200	1,477
11,5600	1,354
11,6000	1,285
11,6400	1,269
11,6800	1,307
11,7200	1,396
11,7600	1,536
11,8000	1,720
11,8400	1,945
11,8800	2,201
11,9200	2,482
11,9600	2,779
12,0000	3,085
12,0400	3,388
12,0800	3,684
12,1200	3,962
12,1600	4,213
12,2000	4,430
12,2400	4,607
12,2800	4,741
12,3200	4,825
12,3600	4,858
12,4000	4,841
12,4400	4,774
12,4800	4,659
12,5200	4,500
12,5600	4,302
12,6000	4,072
12,6400	3,814
12,6800	3,536
12,7200	3,245
12,7600	2,953
12,8000	2,664
12,8400	2,391
12,8800	2,138
12,9200	1,913
12,9600	1,725
13,0000	1,576
13,0400	1,473
13,0800	1,422
13,1200	1,417
13,1600	1,464
13,2000	1,558
13,2400	1,696
13,2800	1,876
13,3200	2,089
13,3600	2,333
13,4000	2,595
13,4400	2,871
13,4800	3,153
13,5200	3,432
13,5600	3,699
13,6000	3,949
13,6400	4,172
13,6800	4,364
13,7200	4,516
13,7600	4,628
13,8000	4,695
13,8400	4,714
13,8800	4,686
13,9200	4,612
13,9600	4,497
