Posizione angolare, Oscillazioni smorzate 4.80mm
Tempo ( s )	Posizione angolare ( rad )
0,0000	1,186
0,0400	1,308
0,0800	1,348
0,1200	1,305
0,1600	1,183
0,2000	0,985
0,2400	0,718
0,2800	0,390
0,3200	0,011
0,3600	-0,407
0,4000	-0,853
0,4400	-1,313
0,4800	-1,777
0,5200	-2,227
0,5600	-2,655
0,6000	-3,044
0,6400	-3,387
0,6800	-3,669
0,7200	-3,888
0,7600	-4,028
0,8000	-4,081
0,8400	-4,051
0,8800	-3,946
0,9200	-3,773
0,9600	-3,541
1,0000	-3,252
1,0400	-2,917
1,0800	-2,545
1,1200	-2,149
1,1600	-1,739
1,2000	-1,327
1,2400	-0,927
1,2800	-0,548
1,3200	-0,203
1,3600	0,101
1,4000	0,353
1,4400	0,548
1,4800	0,680
1,5200	0,745
1,5600	0,741
1,6000	0,672
1,6400	0,542
1,6800	0,355
1,7200	0,118
1,7600	-0,165
1,8000	-0,482
1,8400	-0,826
1,8800	-1,184
1,9200	-1,546
1,9600	-1,901
2,0000	-2,240
2,0400	-2,556
2,0800	-2,838
2,1200	-3,079
2,1600	-3,272
2,2000	-3,412
2,2400	-3,493
2,2800	-3,519
2,3200	-3,484
2,3600	-3,396
2,4000	-3,258
2,4400	-3,071
2,4800	-2,843
2,5200	-2,581
2,5600	-2,290
2,6000	-1,981
2,6400	-1,663
2,6800	-1,345
2,7200	-1,037
2,7600	-0,745
2,8000	-0,481
2,8400	-0,248
2,8800	-0,057
2,9200	0,090
2,9600	0,187
3,0000	0,232
3,0400	0,225
3,0800	0,167
3,1200	0,063
3,1600	-0,086
3,2000	-0,273
3,2400	-0,495
3,2800	-0,741
3,3200	-1,008
3,3600	-1,288
3,4000	-1,569
3,4400	-1,847
3,4800	-2,113
3,5200	-2,358
3,5600	-2,578
3,6000	-2,763
3,6400	-2,911
3,6800	-3,014
3,7200	-3,074
3,7600	-3,088
3,8000	-3,055
3,8400	-2,980
3,8800	-2,862
3,9200	-2,708
3,9600	-2,523
4,0000	-2,311
4,0400	-2,080
4,0800	-1,835
4,1200	-1,583
4,1600	-1,335
4,2000	-1,095
4,2400	-0,870
4,2800	-0,666
4,3200	-0,492
4,3600	-0,349
4,4000	-0,242
4,4400	-0,174
4,4800	-0,148
4,5200	-0,162
4,5600	-0,215
4,6000	-0,305
4,6400	-0,427
4,6800	-0,580
4,7200	-0,757
4,7600	-0,953
4,8000	-1,164
4,8400	-1,384
4,8800	-1,604
4,9200	-1,819
4,9600	-2,023
5,0000	-2,210
5,0400	-2,375
5,0800	-2,515
5,1200	-2,623
5,1600	-2,697
5,2000	-2,736
5,2400	-2,739
5,2800	-2,708
5,3200	-2,642
5,3600	-2,545
5,4000	-2,421
5,4400	-2,271
5,4800	-2,105
5,5200	-1,923
5,5600	-1,733
5,6000	-1,539
5,6400	-1,348
5,6800	-1,166
5,7200	-0,996
5,7600	-0,844
5,8000	-0,713
5,8400	-0,611
5,8800	-0,536
5,9200	-0,492
5,9600	-0,479
6,0000	-0,498
6,0400	-0,547
6,0800	-0,620
6,1200	-0,719
6,1600	-0,840
6,2000	-0,977
6,2400	-1,128
6,2800	-1,288
6,3200	-1,453
6,3600	-1,618
6,4000	-1,778
6,4400	-1,929
6,4800	-2,064
6,5200	-2,183
6,5600	-2,281
6,6000	-2,355
6,6400	-2,403
6,6800	-2,427
6,7200	-2,422
6,7600	-2,392
6,8000	-2,337
6,8400	-2,262
6,8800	-2,166
6,9200	-2,055
6,9600	-1,929
7,0000	-1,794
7,0400	-1,652
7,0800	-1,511
7,1200	-1,371
7,1600	-1,239
7,2000	-1,117
7,2400	-1,008
7,2800	-0,917
7,3200	-0,845
7,3600	-0,795
7,4000	-0,768
7,4400	-0,763
7,4800	-0,782
7,5200	-0,820
7,5600	-0,878
7,6000	-0,953
7,6400	-1,045
7,6800	-1,147
7,7200	-1,260
7,7600	-1,378
7,8000	-1,497
7,8400	-1,618
7,8800	-1,733
7,9200	-1,841
7,9600	-1,937
8,0000	-2,018
8,0400	-2,086
8,0800	-2,135
8,1200	-2,165
8,1600	-2,176
8,2000	-2,166
8,2400	-2,139
8,2800	-2,095
8,3200	-2,037
8,3600	-1,965
8,4000	-1,882
8,4400	-1,789
8,4800	-1,690
8,5200	-1,590
8,5600	-1,488
8,6000	-1,390
8,6400	-1,299
8,6800	-1,214
8,7200	-1,142
8,7600	-1,082
8,8000	-1,037
8,8400	-1,007
8,8800	-0,994
8,9200	-0,997
8,9600	-1,015
9,0000	-1,046
9,0400	-1,092
9,0800	-1,147
9,1200	-1,213
9,1600	-1,285
9,2000	-1,363
9,2400	-1,445
9,2800	-1,527
9,3200	-1,607
9,3600	-1,684
9,4000	-1,755
9,4400	-1,817
9,4800	-1,869
9,5200	-1,910
9,5600	-1,938
9,6000	-1,953
9,6400	-1,956
9,6800	-1,945
9,7200	-1,921
9,7600	-1,888
9,8000	-1,844
9,8400	-1,792
9,8800	-1,736
9,9200	-1,673
9,9600	-1,608
10,0000	-1,543
10,0400	-1,478
10,0800	-1,417
10,1200	-1,360
10,1600	-1,310
10,2000	-1,268
10,2400	-1,235
10,2800	-1,213
10,3200	-1,200
10,3600	-1,199
10,4000	-1,206
10,4400	-1,225
10,4800	-1,250
10,5200	-1,282
10,5600	-1,319
10,6000	-1,363
10,6400	-1,411
10,6800	-1,458
10,7200	-1,508
10,7600	-1,555
10,8000	-1,601
10,8400	-1,645
10,8800	-1,682
10,9200	-1,714
10,9600	-1,739
11,0000	-1,758
11,0400	-1,767
11,0800	-1,769
11,1200	-1,762
11,1600	-1,750
11,2000	-1,733
11,2400	-1,709
11,2800	-1,681
11,3200	-1,649
11,3600	-1,615
11,4000	-1,580
11,4400	-1,544
11,4800	-1,510
11,5200	-1,477
11,5600	-1,447
11,6000	-1,420
11,6400	-1,398
11,6800	-1,382
11,7200	-1,370
11,7600	-1,365
11,8000	-1,363
11,8400	-1,368
11,8800	-1,378
11,9200	-1,390
11,9600	-1,407
12,0000	-1,425
12,0400	-1,445
12,0800	-1,467
12,1200	-1,489
12,1600	-1,511
12,2000	-1,532
12,2400	-1,552
12,2800	-1,571
12,3200	-1,585
12,3600	-1,598
12,4000	-1,607
12,4400	-1,613
12,4800	-1,616
12,5200	-1,615
12,5600	-1,612
12,6000	-1,605
12,6400	-1,599
12,6800	-1,590
12,7200	-1,580
12,7600	-1,569
12,8000	-1,558
12,8400	-1,547
12,8800	-1,536
12,9200	-1,525
12,9600	-1,516
13,0000	-1,508
13,0400	-1,500
13,0800	-1,495
13,1200	-1,492
13,1600	-1,491
13,2000	-1,492
13,2400	-1,494
13,2800	-1,495
13,3200	-1,499
13,3600	-1,502
13,4000	-1,506
13,4400	-1,510
13,4800	-1,514
13,5200	-1,517
13,5600	-1,521
13,6000	-1,524
13,6400	-1,525
13,6800	-1,527
13,7200	-1,528
13,7600	-1,528
13,8000	-1,528
13,8400	-1,528
13,8800	-1,528
13,9200	-1,528
13,9600	-1,528
14,0000	-1,528
14,0400	-1,528
14,0800	-1,527
14,1200	-1,527
14,1600	-1,527
14,2000	-1,527
14,2400	-1,527
14,2800	-1,527
14,3200	-1,527
14,3600	-1,527
14,4000	-1,527
14,4400	-1,527
14,4800	-1,527
14,5200	-1,527
14,5600	-1,527
14,6000	-1,527
14,6400	-1,527
14,6800	-1,527
14,7200	-1,527
14,7600	-1,527
14,8000	-1,527
14,8400	-1,527
14,8800	-1,527
14,9200	-1,527
14,9600	-1,527
15,0000	-1,527
15,0400	-1,527
15,0800	-1,525
15,1200	-1,525
15,1600	-1,525
15,2000	-1,525
15,2400	-1,525
15,2800	-1,525
15,3200	-1,525
15,3600	-1,525
15,4000	-1,525
