Posizione angolare, Oscillazioni forzate 3.00 V
Tempo ( s )	Posizione angolare ( rad )
0,0296	1,428
0,0696	1,663
0,1096	1,894
0,1496	2,114
0,1896	2,325
0,2296	2,521
0,2696	2,700
0,3096	2,860
0,3496	3,002
0,3896	3,120
0,4296	3,217
0,4696	3,291
0,5096	3,341
0,5496	3,368
0,5896	3,371
0,6296	3,352
0,6696	3,313
0,7096	3,255
0,7496	3,176
0,7896	3,079
0,8296	2,964
0,8696	2,834
0,9096	2,688
0,9496	2,527
0,9896	2,355
1,0296	2,174
1,0696	1,984
1,1096	1,789
1,1496	1,591
1,1896	1,393
1,2296	1,199
1,2696	1,008
1,3096	0,826
1,3496	0,657
1,3896	0,503
1,4296	0,364
1,4696	0,247
1,5096	0,148
1,5496	0,072
1,5896	0,020
1,6296	-0,006
1,6696	-0,009
1,7096	0,011
1,7496	0,052
1,7896	0,115
1,8296	0,196
1,8696	0,298
1,9096	0,416
1,9496	0,551
1,9896	0,699
2,0296	0,859
2,0696	1,029
2,1096	1,205
2,1496	1,385
2,1896	1,569
2,2296	1,755
2,2696	1,937
2,3096	2,116
2,3496	2,290
2,3896	2,458
2,4296	2,615
2,4696	2,763
2,5096	2,898
2,5496	3,019
2,5896	3,123
2,6296	3,211
2,6696	3,278
2,7096	3,325
2,7496	3,351
2,7896	3,352
2,8296	3,329
2,8696	3,281
2,9096	3,209
2,9496	3,113
2,9896	2,991
3,0296	2,846
3,0696	2,680
3,1096	2,493
3,1496	2,289
3,1896	2,069
3,2296	1,839
3,2696	1,602
3,3096	1,362
3,3496	1,120
3,3896	0,884
3,4296	0,658
3,4696	0,445
3,5096	0,248
3,5496	0,074
3,5896	-0,074
3,6296	-0,195
3,6696	-0,283
3,7096	-0,339
3,7496	-0,360
3,7896	-0,347
3,8296	-0,303
3,8696	-0,228
3,9096	-0,123
3,9496	0,011
3,9896	0,170
4,0296	0,350
4,0696	0,550
4,1096	0,765
4,1496	0,993
4,1896	1,228
4,2296	1,467
4,2696	1,704
4,3096	1,940
4,3496	2,168
4,3896	2,384
4,4296	2,590
4,4696	2,779
4,5096	2,950
4,5496	3,101
4,5896	3,230
4,6296	3,335
4,6696	3,416
4,7096	3,471
4,7496	3,498
4,7896	3,500
4,8296	3,475
4,8696	3,423
4,9096	3,347
4,9496	3,248
4,9896	3,127
5,0296	2,985
5,0696	2,821
5,1096	2,642
5,1496	2,447
5,1896	2,238
5,2296	2,022
5,2696	1,803
5,3096	1,590
5,3496	1,387
5,3896	1,202
5,4296	1,041
5,4696	0,909
5,5096	0,806
5,5496	0,727
5,5896	0,669
5,6296	0,630
5,6696	0,608
5,7096	0,598
5,7496	0,602
5,7896	0,611
5,8296	0,624
5,8696	0,639
5,9096	0,660
5,9496	0,682
5,9896	0,705
6,0296	0,732
6,0696	0,762
6,1096	0,796
6,1496	0,836
6,1896	0,883
6,2296	0,938
6,2696	1,002
6,3096	1,076
6,3496	1,162
6,3896	1,261
6,4296	1,373
6,4696	1,497
6,5096	1,634
6,5496	1,781
6,5896	1,940
6,6296	2,106
6,6696	2,279
6,7096	2,455
6,7496	2,630
6,7896	2,801
6,8296	2,963
6,8696	3,110
6,9096	3,242
6,9496	3,351
6,9896	3,432
7,0296	3,482
7,0696	3,495
7,1096	3,470
7,1496	3,409
