# Posizione angolare. Oscillazioni forzate 2.00 V
# Tempo ( s )	Posizione angolare ( rad )
0.0311	-0.080
0.0711	-0.005
0.1111	0.075
0.1511	0.160
0.1911	0.250
0.2311	0.341
0.2711	0.435
0.3111	0.531
0.3511	0.628
0.3911	0.726
0.4311	0.822
0.4711	0.916
0.5111	1.007
0.5511	1.096
0.5911	1.181
0.6311	1.260
0.6711	1.334
0.7111	1.401
0.7511	1.461
0.7911	1.513
0.8311	1.555
0.8711	1.591
0.9111	1.616
0.9511	1.632
0.9911	1.638
1.0311	1.637
1.0711	1.626
1.1111	1.608
1.1511	1.583
1.1911	1.550
1.2311	1.511
1.2711	1.466
1.3111	1.414
1.3511	1.354
1.3911	1.291
1.4311	1.222
1.4711	1.148
1.5111	1.070
1.5511	0.988
1.5911	0.903
1.6311	0.817
1.6711	0.727
1.7111	0.639
1.7511	0.550
1.7911	0.462
1.8311	0.375
1.8711	0.291
1.9111	0.209
1.9511	0.134
1.9911	0.068
2.0311	0.008
2.0711	-0.044
2.1111	-0.088
2.1511	-0.127
2.1911	-0.162
2.2311	-0.190
2.2711	-0.214
2.3111	-0.232
2.3511	-0.248
2.3911	-0.261
2.4311	-0.272
2.4711	-0.283
2.5111	-0.291
2.5511	-0.300
2.5911	-0.309
2.6311	-0.320
2.6711	-0.333
2.7111	-0.346
2.7511	-0.361
2.7911	-0.379
2.8311	-0.396
2.8711	-0.415
2.9111	-0.434
2.9511	-0.452
2.9911	-0.468
3.0311	-0.481
3.0711	-0.490
3.1111	-0.493
3.1511	-0.493
3.1911	-0.487
3.2311	-0.474
3.2711	-0.456
3.3111	-0.432
3.3511	-0.401
3.3911	-0.363
3.4311	-0.317
3.4711	-0.265
3.5111	-0.206
3.5511	-0.140
3.5911	-0.066
3.6311	0.013
3.6711	0.097
3.7111	0.187
3.7511	0.280
3.7911	0.377
3.8311	0.476
3.8711	0.575
3.9111	0.675
3.9511	0.774
3.9911	0.872
4.0311	0.968
4.0711	1.059
4.1111	1.147
4.1511	1.230
4.1911	1.307
4.2311	1.378
4.2711	1.440
4.3111	1.494
4.3511	1.539
4.3911	1.577
4.4311	1.605
4.4711	1.624
4.5111	1.632
4.5511	1.634
4.5911	1.624
4.6311	1.608
4.6711	1.587
4.7111	1.557
4.7511	1.521
4.7911	1.478
4.8311	1.431
4.8711	1.376
4.9111	1.318
4.9511	1.255
4.9911	1.188
5.0311	1.117
5.0711	1.043
5.1111	0.966
5.1511	0.888
5.1911	0.807
5.2311	0.727
5.2711	0.646
5.3111	0.565
5.3511	0.484
5.3911	0.405
5.4311	0.327
5.4711	0.251
5.5111	0.178
5.5511	0.107
5.5911	0.039
5.6311	-0.025
5.6711	-0.086
5.7111	-0.145
5.7511	-0.196
5.7911	-0.245
5.8311	-0.291
5.8711	-0.331
5.9111	-0.368
5.9511	-0.399
5.9911	-0.427
6.0311	-0.451
6.0711	-0.471
6.1111	-0.489
6.1511	-0.501
6.1911	-0.511
6.2311	-0.517
6.2711	-0.522
6.3111	-0.522
6.3511	-0.522
6.3911	-0.520
6.4311	-0.515
6.4711	-0.512
6.5111	-0.506
6.5511	-0.500
6.5911	-0.492
6.6311	-0.482
6.6711	-0.471
6.7111	-0.457
6.7511	-0.440
6.7911	-0.419
6.8311	-0.396
6.8711	-0.368
6.9111	-0.336
6.9511	-0.298
6.9911	-0.256
7.0311	-0.209
7.0711	-0.157
7.1111	-0.099
7.1511	-0.036
7.1911	0.031
7.2311	0.104
7.2711	0.182
7.3111	0.262
7.3511	0.347
7.3911	0.435
7.4311	0.525
7.4711	0.616
7.5111	0.708
7.5511	0.800
7.5911	0.891
7.6311	0.980
7.6711	1.067
7.7111	1.151
7.7511	1.232
7.7911	1.307
7.8311	1.376
7.8711	1.439
7.9111	1.495
7.9511	1.544
7.9911	1.585
8.0311	1.618
8.0711	1.641
8.1111	1.654
8.1511	1.659
8.1911	1.652
8.2311	1.638
8.2711	1.615
8.3111	1.582
8.3511	1.543
8.3911	1.494
