Posizione angolare, Oscillazioni forzate 1.50
Tempo ( s )	Posizione angolare ( rad )
0,0460	-0,994
0,0860	-0,905
0,1260	-0,815
0,1660	-0,724
0,2060	-0,635
0,2460	-0,548
0,2860	-0,467
0,3260	-0,390
0,3660	-0,322
0,4060	-0,261
0,4460	-0,209
0,4860	-0,167
0,5260	-0,130
0,5660	-0,105
0,6060	-0,088
0,6460	-0,079
0,6860	-0,075
0,7260	-0,077
0,7660	-0,082
0,8060	-0,086
0,8460	-0,093
0,8860	-0,096
0,9260	-0,097
0,9660	-0,096
1,0060	-0,090
1,0460	-0,080
1,0860	-0,066
1,1260	-0,049
1,1660	-0,027
1,2060	0,000
1,2460	0,030
1,2860	0,064
1,3260	0,101
1,3660	0,140
1,4060	0,182
1,4460	0,225
1,4860	0,267
1,5260	0,309
1,5660	0,350
1,6060	0,388
1,6460	0,421
1,6860	0,448
1,7260	0,470
1,7660	0,484
1,8060	0,490
1,8460	0,489
1,8860	0,481
1,9260	0,468
1,9660	0,449
2,0060	0,426
2,0460	0,397
2,0860	0,364
2,1260	0,327
2,1660	0,286
2,2060	0,243
2,2460	0,198
2,2860	0,151
2,3260	0,102
2,3660	0,052
2,4060	0,002
2,4460	-0,049
2,4860	-0,097
2,5260	-0,145
2,5660	-0,192
2,6060	-0,237
2,6460	-0,280
2,6860	-0,320
2,7260	-0,358
2,7660	-0,394
2,8060	-0,427
2,8460	-0,457
2,8860	-0,484
2,9260	-0,509
2,9660	-0,533
3,0060	-0,554
3,0460	-0,575
3,0860	-0,595
3,1260	-0,614
3,1660	-0,633
3,2060	-0,652
3,2460	-0,674
3,2860	-0,696
3,3260	-0,721
3,3660	-0,748
3,4060	-0,776
3,4460	-0,807
3,4860	-0,840
3,5260	-0,877
3,5660	-0,913
3,6060	-0,952
3,6460	-0,993
3,6860	-1,035
3,7260	-1,078
3,7660	-1,120
3,8060	-1,164
3,8460	-1,208
3,8860	-1,250
3,9260	-1,291
3,9660	-1,330
4,0060	-1,368
4,0460	-1,401
4,0860	-1,431
4,1260	-1,458
4,1660	-1,481
4,2060	-1,499
4,2460	-1,513
4,2860	-1,522
4,3260	-1,528
4,3660	-1,530
4,4060	-1,530
4,4460	-1,525
4,4860	-1,519
4,5260	-1,513
4,5660	-1,505
4,6060	-1,500
4,6460	-1,500
4,6860	-1,500
4,7260	-1,500
4,7660	-1,500
4,8060	-1,500
4,8460	-1,500
4,8860	-1,500
4,9260	-1,500
4,9660	-1,500
5,0060	-1,500
5,0460	-1,500
5,0860	-1,500
5,1260	-1,500
5,1660	-1,499
5,2060	-1,499
5,2460	-1,499
5,2860	-1,497
5,3260	-1,494
5,3660	-1,491
5,4060	-1,483
5,4460	-1,475
5,4860	-1,461
5,5260	-1,442
5,5660	-1,418
5,6060	-1,387
5,6460	-1,349
5,6860	-1,305
5,7260	-1,255
5,7660	-1,199
5,8060	-1,137
5,8460	-1,071
5,8860	-1,002
5,9260	-0,930
5,9660	-0,855
6,0060	-0,779
6,0460	-0,704
6,0860	-0,628
6,1260	-0,558
6,1660	-0,489
6,2060	-0,424
6,2460	-0,366
6,2860	-0,313
6,3260	-0,264
6,3660	-0,223
6,4060	-0,187
6,4460	-0,157
6,4860	-0,132
6,5260	-0,113
6,5660	-0,097
6,6060	-0,086
6,6460	-0,077
6,6860	-0,071
6,7260	-0,068
